Subject	B11	A06	B09	B12	B04	B01	B16	C09
DW.caries	low	low	high	high	low	low	high	high
p_Actinobacteria|c_Actinobacteria|o_Actinomycetales|f_Micrococcaceae|g_Rothia|s_dentocariosa	0	0	123	4	205	8	2201	0
p_Actinobacteria|c_Actinobacteria|o_Actinomycetales|f_Micrococcaceae|g_Rothia|s_aeria	0	1232	526	0	475	0	766	0
p_Actinobacteria|c_Actinobacteria|o_Actinomycetales|f_Micrococcaceae|g_Rothia|s_mucilaginosa	0	0	0	0	0	0	0	0
p_Actinobacteria|c_Actinobacteria|o_Actinomycetales|f_Micrococcaceae|g_Rothia|s_mucilaginosa.1	14	736	0	11	372	40	294	0
p_Actinobacteria|c_Actinobacteria|o_Actinomycetales|f_Micrococcaceae|g_Rothia|s_mucilaginosa.2	24	0	0	239	18	162	171	0
p_Actinobacteria|c_Actinobacteria|o_Actinomycetales|f_Micrococcaceae|g_Rothia|s_mucilaginosa.3	0	0	26	0	0	0	0	0
p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Brevibacteriaceae|g_Brevibacterium|s_paucivorans	0	0	0	0	2	0	0	0
p_Actinobacteria|c_Actinobacteria|o_Actinomycetales|f_Actinomycetaceae|g_Peptidiphaga|s_gingivicola	0	5	0	0	0	0	0	0
p_Firmicutes|c_Clostridia|o_Clostridiales|f_Peptoniphilaceae|g_Parvimonas|s_micra	0	0	0	0	10	67	0	0
p_Firmicutes|c_Clostridia|o_Clostridiales|f_Peptoniphilaceae|g_Parvimonas|s_Unclassified	1080	0	0	0	200	0	0	0
p_Firmicutes|c_Clostridia|o_Clostridiales|f_Peptoniphilaceae|g_Parvimonas|s_sp._HMT_110	0	0	0	0	0	0	0	0
p_Synergistetes|c_Synergistia|o_Synergistales|f_Synergistaceae|g_Fretibacterium|s_sp._HMT_361	0	0	0	0	0	53	0	0
p_Synergistetes|c_Synergistia|o_Synergistales|f_Synergistaceae|g_Fretibacterium|s_fastidiosum	0	0	3	0	0	0	0	0
p_Firmicutes|c_Clostridia|o_Clostridiales|f_Eubacteriaceae_[XV]|g_Pseudoramibacter|s_alactolyticus	0	0	0	0	0	14	0	0
p_Firmicutes|c_Clostridia|o_Clostridiales|f_Peptoniphilaceae|g_Anaerococcus|s_Unclassified	0	0	0	0	2	0	0	0
p_Firmicutes|c_Clostridia|o_Clostridiales|f_Peptoniphilaceae|g_Peptoniphilus|s_Unclassified	0	0	0	0	0	0	0	0
p_Firmicutes|c_Erysipelotrichia|o_Erysipelotrichales|f_Erysipelotrichaceae|g_Bulleidia|s_extructa	0	0	3	0	0	0	0	0
p_Firmicutes|c_Erysipelotrichia|o_Erysipelotrichales|f_Erysipelotrichaceae|g_Solobacterium|s_moorei	32	203	0	0	225	62	2	0
p_Firmicutes|c_Erysipelotrichia|o_Erysipelotrichales|f_Erysipelotrichaceae|g_Solobacterium|s_moorei.1	0	0	0	0	0	0	0	0
p_Fusobacteria|c_Fusobacteriia|o_Fusobacteriales|f_Leptotrichiaceae|g_Leptotrichia|s_Unclassified	0	54	0	0	0	60	0	0
p_Fusobacteria|c_Fusobacteriia|o_Fusobacteriales|f_Leptotrichiaceae|g_Leptotrichia|s_sp._HMT_212	0	234	18	42	497	0	0	0
p_Fusobacteria|c_Fusobacteriia|o_Fusobacteriales|f_Leptotrichiaceae|g_Leptotrichia|s_sp._HMT_215	0	0	0	0	492	0	0	0
p_Fusobacteria|c_Fusobacteriia|o_Fusobacteriales|f_Leptotrichiaceae|g_Leptotrichia|s_sp._HMT_215.1	0	808	30	171	2061	96	0	0
p_Fusobacteria|c_Fusobacteriia|o_Fusobacteriales|f_Leptotrichiaceae|g_Leptotrichia|s_sp._HMT_215.2	0	0	0	27	0	0	0	0
p_Fusobacteria|c_Fusobacteriia|o_Fusobacteriales|f_Leptotrichiaceae|g_Leptotrichia|s_sp._HMT_392	0	0	0	0	0	22	0	0
p_Fusobacteria|c_Fusobacteriia|o_Fusobacteriales|f_Leptotrichiaceae|g_Leptotrichia|s_Unclassified.1	0	0	0	16	0	0	0	0
p_Fusobacteria|c_Fusobacteriia|o_Fusobacteriales|f_Leptotrichiaceae|g_Leptotrichia|s_sp._HMT_392.1	73	0	43	0	53	36	7	0
p_Fusobacteria|c_Fusobacteriia|o_Fusobacteriales|f_Leptotrichiaceae|g_Leptotrichia|s_Unclassified.2	0	0	0	0	117	0	0	0
p_Fusobacteria|c_Fusobacteriia|o_Fusobacteriales|f_Leptotrichiaceae|g_Leptotrichia|s_sp._HMT_498	0	0	4	0	0	11	0	0
p_Fusobacteria|c_Fusobacteriia|o_Fusobacteriales|f_Leptotrichiaceae|g_Leptotrichia|s_wadei	0	0	0	0	0	0	0	0
p_Fusobacteria|c_Fusobacteriia|o_Fusobacteriales|f_Leptotrichiaceae|g_Leptotrichia|s_hongkongensis	0	0	0	0	0	33	0	0
p_Fusobacteria|c_Fusobacteriia|o_Fusobacteriales|f_Leptotrichiaceae|g_Leptotrichia|s_shahii	0	0	811	49	21	51	12	0
p_Fusobacteria|c_Fusobacteriia|o_Fusobacteriales|f_Leptotrichiaceae|g_Leptotrichia|s_hongkongensis.1	0	0	2738	64	93	31	211	0
p_Fusobacteria|c_Fusobacteriia|o_Fusobacteriales|f_Leptotrichiaceae|g_Leptotrichia|s_hongkongensis.2	0	116	0	0	0	0	0	0
p_Fusobacteria|c_Fusobacteriia|o_Fusobacteriales|f_Leptotrichiaceae|g_Leptotrichia|s_sp._HMT_225	0	43	40	0	36	47	0	0
p_Fusobacteria|c_Fusobacteriia|o_Fusobacteriales|f_Leptotrichiaceae|g_Leptotrichia|s_sp._HMT_223	0	0	0	0	13	0	0	0
p_Fusobacteria|c_Fusobacteriia|o_Fusobacteriales|f_Leptotrichiaceae|g_Leptotrichia|s_hofstadii	0	0	0	0	7	0	0	0
p_Fusobacteria|c_Fusobacteriia|o_Fusobacteriales|f_Leptotrichiaceae|g_Leptotrichia|s_sp._HMT_417	0	79	27	0	210	12	0	0
p_Fusobacteria|c_Fusobacteriia|o_Fusobacteriales|f_Leptotrichiaceae|g_Leptotrichia|s_wadei.1	0	0	0	0	38	0	0	0
p_Fusobacteria|c_Fusobacteriia|o_Fusobacteriales|f_Leptotrichiaceae|g_Leptotrichia|s_wadei.2	0	0	0	5	0	0	0	0
p_Fusobacteria|c_Fusobacteriia|o_Fusobacteriales|f_Leptotrichiaceae|g_Leptotrichia|s_sp._HMT_219	0	0	18	0	34	0	0	0
p_Fusobacteria|c_Fusobacteriia|o_Fusobacteriales|f_Leptotrichiaceae|g_Leptotrichia|s_goodfellowii	0	0	0	0	0	0	0	0
p_Fusobacteria|c_Fusobacteriia|o_Fusobacteriales|f_Leptotrichiaceae|g_Leptotrichia|s_sp._HMT_221	0	0	0	0	117	0	0	0
p_Actinobacteria|c_Coriobacteriia|o_Coriobacteriales|f_Atopobiaceae|g_Olsenella|s_sp._HMT_807	12	8	0	0	0	0	0	0
p_Actinobacteria|c_Coriobacteriia|o_Coriobacteriales|f_Coriobacteriaceae|g_Slackia|s_exigua	0	0	0	0	8	2	0	0
p_Actinobacteria|c_Coriobacteriia|o_Eggerthellales|f_Eggerthellaceae|g_Cryptobacterium|s_curtum	0	0	0	0	0	0	2	0
p_Actinobacteria|c_Coriobacteriia|o_Coriobacteriales|f_Coriobacteriaceae|g_Atopobium|s_rimae	293	0	6	0	0	36	0	0
p_Actinobacteria|c_Coriobacteriia|o_Coriobacteriales|f_Coriobacteriaceae|g_Atopobium|s_parvulum	0	697	4	0	217	46	0	9
p_Actinobacteria|c_Coriobacteriia|o_Coriobacteriales|f_Coriobacteriaceae|g_Atopobium|s_parvulum.1	119	0	0	0	0	107	0	0
p_Actinobacteria|c_Coriobacteriia|o_Coriobacteriales|f_Coriobacteriaceae|g_Atopobium|s_parvulum.2	0	480	0	0	13	0	8	0
p_Firmicutes|c_Clostridia|o_Clostridiales|f_Peptostreptococcaceae_[XI]|g_Peptostreptococcus|s_stomatis	681	12931	0	0	736	504	0	0
p_Firmicutes|c_Clostridia|o_Clostridiales|f_Peptostreptococcaceae_[XI]|g_Peptostreptococcaceae_[XI][G-4]|s_bacterium_HMT_369	0	0	0	0	0	5	0	0
p_Firmicutes|c_Clostridia|o_Clostridiales|f_Peptostreptococcaceae_[XI]|g_Peptostreptococcaceae_[XI][G-1]|s_[Eubacterium]_sulci	0	15	0	0	41	161	0	0
p_Firmicutes|c_Clostridia|o_Clostridiales|f_Peptostreptococcaceae_[XI]|g_Mogibacterium|s_Unclassified	0	3	3	0	63	46	0	0
p_Firmicutes|c_Clostridia|o_Clostridiales|f_Peptostreptococcaceae_[XI]|g_Mogibacterium|s_timidum	0	0	0	0	0	20	0	0
p_Firmicutes|c_Clostridia|o_Clostridiales|f_Peptostreptococcaceae_[XI]|g_Peptostreptococcaceae_[XI][G-7]|s_[Eubacterium]_yurii_subsps._yurii_&_margaretiae	782	0	4	0	11	0	0	0
p_Firmicutes|c_Negativicutes|o_Veillonellales|f_Veillonellaceae|g_Veillonellaceae_[G-1]|s_bacterium_HMT_155	0	14	0	0	0	45	0	0
p_Firmicutes|c_Negativicutes|o_Selenomonadales|f_Selenomonadaceae|g_Selenomonas|s_sputigena	11	0	5	0	189	65	0	0
p_Firmicutes|c_Negativicutes|o_Selenomonadales|f_Selenomonadaceae|g_Selenomonas|s_sputigena.1	0	4	0	0	0	0	0	0
p_Firmicutes|c_Negativicutes|o_Selenomonadales|f_Selenomonadaceae|g_Mitsuokella|s_sp._HMT_521	0	0	0	0	11	0	0	0
p_Firmicutes|c_Negativicutes|o_Selenomonadales|f_Selenomonadaceae|g_Selenomonas|s_Unclassified	0	92	5	0	649	17	0	0
p_Firmicutes|c_Negativicutes|o_Selenomonadales|f_Selenomonadaceae|g_Selenomonas|s_noxia	0	106	17	0	0	39	0	0
p_Firmicutes|c_Negativicutes|o_Selenomonadales|f_Selenomonadaceae|g_Selenomonas|s_Unclassified.1	0	102	0	0	37	0	0	0
p_Firmicutes|c_Negativicutes|o_Selenomonadales|f_Selenomonadaceae|g_Selenomonas|s_artemidis	881	1057	28	0	11	144	0	0
p_Firmicutes|c_Negativicutes|o_Selenomonadales|f_Selenomonadaceae|g_Selenomonas|s_Unclassified.2	0	0	57	0	94	0	0	0
p_Firmicutes|c_Negativicutes|o_Selenomonadales|f_Selenomonadaceae|g_Selenomonas|s_Unclassified.3	633	0	0	0	141	71	0	0
p_Firmicutes|c_Negativicutes|o_Selenomonadales|f_Selenomonadaceae|g_Selenomonas|s_Unclassified.4	0	0	9	0	0	0	0	0
p_Firmicutes|c_Negativicutes|o_Selenomonadales|f_Selenomonadaceae|g_Selenomonas|s_flueggei	0	0	0	0	59	0	0	0
p_Firmicutes|c_Negativicutes|o_Selenomonadales|f_Selenomonadaceae|g_Selenomonas|s_Unclassified.5	0	0	0	0	15	0	0	0
p_Firmicutes|c_Negativicutes|o_Veillonellales|f_Veillonellaceae|g_Anaeroglobus|s_geminatus	0	0	0	0	0	104	0	0
p_Firmicutes|c_Negativicutes|o_Veillonellales|f_Veillonellaceae|g_Anaeroglobus|s_geminatus.1	0	0	0	0	4	39	0	0
p_Firmicutes|c_Negativicutes|o_Veillonellales|f_Veillonellaceae|g_Megasphaera|s_micronuciformis	13	1043	5	0	1911	3027	0	0
p_Firmicutes|c_Negativicutes|o_Veillonellales|f_Veillonellaceae|g_Veillonella|s_sp._HMT_780	0	1655	21	30	669	4	0	0
p_Firmicutes|c_Negativicutes|o_Veillonellales|f_Veillonellaceae|g_Veillonella|s_sp._HMT_780.1	0	0	0	0	0	0	0	0
p_Firmicutes|c_Negativicutes|o_Veillonellales|f_Veillonellaceae|g_Veillonella|s_dispar	63	2223	10711	22	1927	731	10033	0
p_Firmicutes|c_Negativicutes|o_Veillonellales|f_Veillonellaceae|g_Veillonella|s_dispar.1	0	0	0	0	71	0	0	0
p_Firmicutes|c_Negativicutes|o_Veillonellales|f_Veillonellaceae|g_Veillonella|s_Unclassified	0	1022	537	1127	9915	6117	103	220
p_Firmicutes|c_Negativicutes|o_Veillonellales|f_Veillonellaceae|g_Veillonella|s_Unclassified.1	0	0	0	0	0	0	0	0
p_Firmicutes|c_Negativicutes|o_Veillonellales|f_Veillonellaceae|g_Veillonella|s_Unclassified.2	0	0	0	345	0	0	0	0
p_Firmicutes|c_Negativicutes|o_Veillonellales|f_Veillonellaceae|g_Veillonella|s_Unclassified.3	0	0	0	0	0	69	0	0
p_Firmicutes|c_Negativicutes|o_Veillonellales|f_Veillonellaceae|g_Veillonella|s_Unclassified.4	0	0	0	0	0	0	0	0
p_Firmicutes|c_Negativicutes|o_Veillonellales|f_Veillonellaceae|g_Veillonella|s_rogosae	0	0	131	177	1439	66	0	0
p_Firmicutes|c_Negativicutes|o_Veillonellales|f_Veillonellaceae|g_Veillonella|s_parvula	31	1324	16205	980	2086	427	309	70
p_Firmicutes|c_Negativicutes|o_Veillonellales|f_Veillonellaceae|g_Veillonella|s_parvula.1	0	0	0	0	0	78	0	0
p_Firmicutes|c_Negativicutes|o_Veillonellales|f_Veillonellaceae|g_Veillonella|s_Unclassified.5	0	0	0	0	0	0	3043	0
p_Firmicutes|c_Negativicutes|o_Veillonellales|f_Veillonellaceae|g_Veillonella|s_parvula.2	0	0	0	181	0	0	0	0
p_Firmicutes|c_Negativicutes|o_Veillonellales|f_Veillonellaceae|g_Dialister|s_invisus	0	3	0	0	22	71	0	0
p_Firmicutes|c_Negativicutes|o_Veillonellales|f_Veillonellaceae|g_Dialister|s_pneumosintes	0	0	0	0	184	0	0	0
p_Firmicutes|c_Negativicutes|o_Veillonellales|f_Veillonellaceae|g_Dialister|s_micraerophilus	0	0	0	0	0	44	0	0
p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Streptococcaceae|g_Lactococcus|s_lactis	0	0	0	0	0	0	0	0
p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Streptococcaceae|g_Streptococcus|s_anginosus	0	0	239	0	0	0	0	0
p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Streptococcaceae|g_Streptococcus|s_mutans	0	0	0	0	0	5	0	0
p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Streptococcaceae|g_Streptococcus|s_salivarius	0	0	79	0	123	10	368	0
p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Streptococcaceae|g_Streptococcus|s_Unclassified	31	23	16087	273	5100	1807	20698	0
p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Streptococcaceae|g_Streptococcus|s_Unclassified.1	0	0	0	2920	835	44	135	11
p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Streptococcaceae|g_Streptococcus|s_Unclassified.2	0	0	3759	0	80	0	417	0
