Subject	B11	A06	B09	B12	B04	B01	B16	C09
DW.caries	low	low	high	high	low	low	high	high
p_Spirochaetes|c_Spirochaetia|o_Spirochaetales|f_Spirochaetaceae|g_Treponema|s_Unclassified	0	107	0	0	0	0	0	0
p_Spirochaetes|c_Spirochaetia|o_Spirochaetales|f_Spirochaetaceae|g_Treponema|s_Unclassified.1	0	0	0	0	13	0	0	0
p_Spirochaetes|c_Spirochaetia|o_Spirochaetales|f_Spirochaetaceae|g_Treponema|s_sp._HMT_231	0	224	8	0	0	0	0	0
p_Spirochaetes|c_Spirochaetia|o_Spirochaetales|f_Spirochaetaceae|g_Treponema|s_sp._HMT_237	0	76	0	0	0	70	0	0
p_Spirochaetes|c_Spirochaetia|o_Spirochaetales|f_Spirochaetaceae|g_Treponema|s_sp._HMT_230	0	0	33	0	0	0	0	0
p_Spirochaetes|c_Spirochaetia|o_Spirochaetales|f_Spirochaetaceae|g_Treponema|s_Unclassified.2	0	0	9	0	0	0	0	0
p_Spirochaetes|c_Spirochaetia|o_Spirochaetales|f_Spirochaetaceae|g_Treponema|s_maltophilum	0	115	0	0	0	23	0	0
p_Spirochaetes|c_Spirochaetia|o_Spirochaetales|f_Spirochaetaceae|g_Treponema|s_socranskii	0	642	0	0	0	0	0	0
p_Spirochaetes|c_Spirochaetia|o_Spirochaetales|f_Spirochaetaceae|g_Treponema|s_sp._HMT_268	0	63	0	0	0	0	0	0
p_Spirochaetes|c_Spirochaetia|o_Spirochaetales|f_Spirochaetaceae|g_Treponema|s_denticola	0	9	0	0	0	25	0	0
p_Spirochaetes|c_Spirochaetia|o_Spirochaetales|f_Spirochaetaceae|g_Treponema|s_Unclassified.3	0	0	5	0	0	0	0	0
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_pyogenes	0	0	0	0	0	0	0	6
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_Unclassified	0	0	0	0	0	0	0	0
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Alloprevotella|s_rava	0	0	6	0	0	316	0	0
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Alloprevotella|s_sp._HMT_473	0	0	0	0	143	0	146	0
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Alloprevotella|s_sp._HMT_473.1	0	0	0	0	0	0	47	0
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Alloprevotella|s_sp._HMT_912	0	2762	2	0	151	6	0	0
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Alloprevotella|s_sp._HMT_912.1	0	0	0	0	154	0	0	0
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Alloprevotella|s_sp._HMT_914	53	0	0	0	0	0	0	0
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Alloprevotella|s_sp._HMT_308	251	12295	0	0	296	22	0	0
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Alloprevotella|s_sp._HMT_308.1	0	2389	0	0	0	0	0	0
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Alloprevotella|s_sp._HMT_308.2	0	0	0	0	39	0	0	0
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_Unclassified.1	0	0	0	0	0	0	0	3895
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_zoogleoformans	0	0	0	0	0	0	0	259
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_zoogleoformans.1	0	0	0	0	0	0	0	90
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_zoogleoformans.2	0	0	0	0	0	0	0	89
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_Unclassified.2	0	0	0	0	0	0	0	161
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_Unclassified.3	0	0	0	0	0	0	0	60
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_zoogleoformans.3	0	0	0	0	0	0	0	53
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_zoogleoformans.4	0	0	0	0	0	0	0	193
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_zoogleoformans.5	0	0	0	0	0	0	0	153
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_zoogleoformans.6	0	0	0	0	0	0	0	101
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_zoogleoformans.7	0	0	0	0	0	0	0	127
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_Unclassified.4	0	0	0	0	0	0	0	85
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_Unclassified.5	0	0	0	0	0	0	0	60
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_zoogleoformans.8	0	0	0	0	0	0	0	66
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_zoogleoformans.9	0	0	0	0	0	0	0	136
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_Unclassified.6	0	0	0	0	0	0	0	100
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_zoogleoformans.10	0	0	0	0	0	0	0	73
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_Unclassified.7	0	0	0	0	0	0	0	32
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_zoogleoformans.11	0	0	0	0	0	0	0	235
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_zoogleoformans.12	0	0	0	0	0	0	0	126
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_Unclassified.8	0	0	0	0	0	0	0	1480
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_Unclassified.9	0	0	0	0	0	0	0	590
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_zoogleoformans.13	0	0	0	0	0	0	0	82
